,0
IS_pds_l10_ndw_SOS_adj,0.2149536399976322
IS_pds_l10_stdev,0.15333176440426335
DOW_num,0.06979848844426895
Overall_Freshness%,0.05029787479066167
Freshness_Factor,0.04661531195706384
IS2_npds_prior_solves_ct,0.04415233005742318
IS_per_constr_avg_past_diff_from_RPB,0.04218783723571464
IS2_pds_prior_solves_ct,0.0351447135530491
AWL,0.03465773217790266
Scrabble_Illegal,0.03247029973504331
Open_Squares,0.028281095683208878
Words,0.027454016339262366
Unique_Answers,0.021416651376905255
IS_per_sdp_avg_past_diff_from_RPB,0.021232543478827342
Day_Freshness%,0.021072247597784
Scrabble_Score,0.019690038159063988
IS2_solves_l7,0.019647811387440164
Blocks,0.015612602090139408
Comp_Hr,0.014851220902076915
Scrabble_Avg,0.01409560738237557
Wordplay,0.013591063596193964
FITB,0.012101947620135264
Unused_Letters,0.010362379719115867
Cross_Ref_Clues,0.007353179345509632
Rebus_Count,0.006842875452891211
Cheater_Squares,0.006065278792762643
Duplicate_Clues,0.005350392867633544
Rebus_Unique,0.004420301132601912
Stacks,0.002590732355170325
Solve_day_phase,0.0016484937472650333
Unusual_Sym,0.0010080592122274155
Circle_Count,0.0006941321500378799
Shade_Count,0.0006681791256549594
Black_Square_Fill,0.0003391581326934039
